Id,Label,n,p,k
0,Apple,1,1.2,1.4
1,Apricot,1,1.2,1.4
2,Asparagus,1,1.2,1.4
3,Balm,1,1.2,1.4
4,Basil,1,1.2,1.4
5,Beans,1,1.2,1.4
6,Beets,1,1.2,1.4
7,Borage,1,1.2,1.4
8,Broad beans,1,1.2,1.4
9,Broccoli,1,1.2,1.4
10,Brussel sprouts,1,1.2,1.4
11,Bush beans,1,1.2,1.4
12,Cabbages,1,1.2,1.4
13,Camomile,1,1.2,1.4
14,Carrots,1,1.2,1.4
15,Cauliflower,1,1.2,1.4
16,Celery,1,1.2,1.4
17,Cherry,1,1.2,1.4
18,Chervil,1,1.2,1.4
19,Chives,1,1.2,1.4
20,Climbing beans,1,1.2,1.4
21,Coriander,1,1.2,1.4
22,Corn,1,1.2,1.4
23,Cucumber,1,1.2,1.4
24,Dill,1,1.2,1.4
25,Eggplant,1,1.2,1.4
26,Fennel,1,1.2,1.4
27,Fruit trees,1,1.2,1.4
28,Garlic,1,1.2,1.4
29,Gooseberry,1,1.2,1.4
30,Grape vine,1,1.2,1.4
31,Horseradish,1,1.2,1.4
32,Lavender,1,1.2,1.4
33,Leeks,1,1.2,1.4
34,Lemon,1,1.2,1.4
35,Lettuce,1,1.2,1.4
36,Marigold,1,1.2,1.4
37,Marjoram,1,1.2,1.4
38,Mints,1,1.2,1.4
39,Mustard,1,1.2,1.4
40,Nasturtiums,1,1.2,1.4
41,Onions,1,1.2,1.4
42,Parsley,1,1.2,1.4
43,Parsnip,1,1.2,1.4
44,Peas,1,1.2,1.4
45,Penny royal,1,1.2,1.4
46,Potato,1,1.2,1.4
47,Pumpkin,1,1.2,1.4
48,Radish,1,1.2,1.4
49,Raspberry,1,1.2,1.4
50,Rosemary,1,1.2,1.4
51,Roses,1,1.2,1.4
52,Rue,1,1.2,1.4
53,Sage,1,1.2,1.4
54,Savoy,1,1.2,1.4
55,Shallots,1,1.2,1.4
56,Silverbeet,1,1.2,1.4
57,Spinach,1,1.2,1.4
58,Strawberries,1,1.2,1.4
59,Sunflower,1,1.2,1.4
60,Tansy,1,1.2,1.4
61,Thyme,1,1.2,1.4
62,Tomato,1,1.2,1.4
63,Yarrow,1,1.2,1.4
64,Zucchini,1,1.2,1.4
